,Date,Model,Duration,PromoAmt,Forecast,Adj_Forecast,Adj_ForecastCY,Adj_ForecastNCY,Profit_Promo,Profit_NoPromo,incremental_Retail,PromoCost,incremental_Profit,Profitability,Retail,Retail_var1,Retail_var
0,2017-12-31,OUTLANDER 1000,2,1750,59,84.72999999999999,61.629999999999995,23.1,311415.18,211015.29,25.72999999999999,148277.5,-47877.610000000015,27370305.240000002,7702.73,1.0033515696235509,0.003351569623550865
0,2017-12-31,OUTLANDER 1000,3,1750,91,131.26,96.60999999999999,34.650000000000006,483550.39999999997,326383.45999999996,40.25999999999999,229705.0,-72538.06,27345644.790000003,7717.26,1.0052442360296991,0.0052442360296991
0,2017-12-31,OUTLANDER 1000,4,1750,135,199.62,156.57,43.050000000000004,744893.83,492040.32,64.62,349335.0,-96481.49000000005,27321701.360000003,7741.62,1.0084173505275498,0.008417350527549826
0,2017-12-31,OUTLANDER 1000,5,1750,214,313.96,241.51,72.45,1166884.97,776023.52,99.95999999999998,549430.0,-158568.55000000005,27259614.3,7776.96,1.0130207112153184,0.01302071121531848
0,2017-12-31,OUTLANDER 1000,6,1750,249,366.71000000000004,284.81,81.9,1365623.89,905196.4199999999,117.71000000000004,641742.5,-181315.03000000003,27236867.82,7794.71,1.01533281229647,0.01533281229646998
0,2017-12-31,OUTLANDER 1000,7,1750,294,434.89,341.44,93.45,1623151.29,1071839.34,140.89,761057.5,-209745.55000000005,27208437.3,7817.89,1.01835222091963,0.018352220919630062
0,2017-12-31,OUTLANDER 1000,8,1750,341,507.63,404.73,102.9,1900735.0,1248342.78,166.63,888352.5,-235960.28000000003,27182222.57,7843.63,1.0217050931353393,0.021705093135339325
0,2017-12-31,OUTLANDER 1000,9,1750,412,620.96,509.66,111.30000000000001,2339449.59,1520493.34,208.96000000000004,1086680.0,-267723.75000000023,27150459.1,7885.96,1.0272189657418263,0.02721896574182624
0,2017-12-31,OUTLANDER 1000,10,1750,473,712.71,584.61,128.10000000000002,2684765.26,1745313.37,239.71000000000004,1247242.5,-307790.61000000034,27110392.240000002,7916.71,1.0312244366288914,0.0312244366288915
0,2017-12-31,OUTLANDER 1000,11,1750,533,805.8700000000001,666.22,139.65000000000003,3040819.05,1971119.45,272.8700000000001,1410272.5,-340572.90000000014,27077609.950000003,7949.87,1.03554383222613,0.035543832226130015
0,2017-12-31,OUTLANDER 1000,12,1750,617,937.1600000000001,782.8100000000001,154.35000000000002,3544159.54,2288628.4299999997,320.1600000000001,1640030.0,-384498.88999999966,27033683.96,7997.16,1.041703790543181,0.04170379054318094
0,2017-12-31,OUTLANDER 1000,13,1750,740,1132.79,962.69,170.10000000000002,4300235.21,2758975.6,392.78999999999996,1982382.5,-441122.89000000013,26977059.96,8069.79,1.0511645173896054,0.05116451738960531
0,2017-12-31,OUTLANDER 1000,14,1750,808,1241.1200000000001,1062.6200000000001,178.50000000000003,4719228.74,3019293.52,433.1200000000001,2171960.0,-472024.7799999998,26946158.07,8110.12,1.0564178715644132,0.0564178715644132
0,2017-12-31,OUTLANDER 1000,15,1750,889,1369.8700000000001,1180.8700000000001,189.00000000000003,5216692.350000001,3328914.08,480.8700000000001,2397272.5,-509494.2299999995,26908688.62,8157.87,1.0626377491207504,0.0626377491207503
0,2017-12-31,OUTLANDER 1000,1,2000,22,31.7,21.13,10.57,114608.90999999999,76912.11,9.7,63400.0,-25703.20000000001,27392479.650000002,7686.7,1.0012635143936433,0.0012635143936433502
0,2017-12-31,OUTLANDER 1000,2,2000,59,88.4,65.15,23.25,325742.53,211015.29,29.400000000000006,176800.0,-62072.75999999998,27356110.09,7706.4,1.0038296209456818,0.003829620945681908
0,2017-12-31,OUTLANDER 1000,3,2000,91,137.0,102.12,34.88,505963.39,326383.45999999996,46.0,274000.0,-94420.06999999995,27323762.78,7723.0,1.005991923928618,0.00599192392861795
0,2017-12-31,OUTLANDER 1000,4,2000,135,208.84,165.5,43.34,780973.5,492040.32,73.84,417680.0,-128746.82,27289436.03,7750.84,1.0096183404975902,0.009618340497590205
0,2017-12-31,OUTLANDER 1000,5,2000,214,328.23,255.29000000000002,72.94,1222685.69,776023.52,114.23000000000002,656460.0,-209797.83000000007,27208385.020000003,7791.23,1.0148795102253483,0.014879510225348445
0,2017-12-31,OUTLANDER 1000,6,2000,249,383.52000000000004,301.07000000000005,82.45,1431383.76,905196.4199999999,134.52000000000004,767040.0,-240852.65999999992,27177330.19,7811.52,1.0175224697147325,0.01752246971473232
0,2017-12-31,OUTLANDER 1000,7,2000,294,455.01000000000005,360.93000000000006,94.08,1701887.61,1071839.34,161.01000000000005,910020.0,-279971.73,27138211.12,7838.01,1.0209730363423213,0.020973036342321224
